gbifID	occurrenceID	phylum	class	order	family	genus	scientificName	countryCode	locality	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	eventDate	day	month	year	taxonKey	speciesKey	recordedBy
1990312739	e1496e3e-8afb-4818-a9f6-b258369e1c10	Basidiomycota	Agaricomycetes	Cantharellales	Cantharellaceae	Cantharellus	Cantharellus nigripedes Cleland & Cheel	SE	Garpenberg	61c539d8-47e0-4b82-875f-b95aad66dcd4	60.3125	16.193056		1974-08-30T00:00:00Z	30.0	8	1974	5467041	5467041.0	R.H. Petersen
1838500727	urn:lsid:artportalen.se:Sighting:70459894	Basidiomycota	Agaricomycetes	Cantharellales	Cantharellaceae	Cantharellus	Cantharellus cibarius Fr.	SE	Kullaberg, Mölle mosse norr om	b8323864-602a-4a7d-9127-bb903054e97d	56.287929000000005	12.508483	100.0	1990-06-02T00:00:00Z	2.0	6	1990	5249504	5249504.0	Kerstin Bergelin
1838466857	urn:lsid:artportalen.se:Sighting:70434955	Basidiomycota	Agaricomycetes	Cantharellales	Cantharellaceae	Cantharellus	Cantharellus cibarius Fr.	SE	Kullaberg, Mölle mosse norr om	b8323864-602a-4a7d-9127-bb903054e97d	56.287929000000005	12.508483	100.0	1989-08-06T00:00:00Z	6.0	8	1989	5249504	5249504.0	Kerstin Bergelin
1838466852	urn:lsid:artportalen.se:Sighting:70434954	Basidiomycota	Agaricomycetes	Cantharellales	Cantharellaceae	Cantharellus	Cantharellus cibarius Fr.	SE	Kullaberg, Mölle mosse norr om	b8323864-602a-4a7d-9127-bb903054e97d	56.287929000000005	12.508483	100.0	1989-08-12T00:00:00Z	12.0	8	1989	5249504	5249504.0	Kerstin Bergelin
1838466825	urn:lsid:artportalen.se:Sighting:70434957	Basidiomycota	Agaricomycetes	Cantharellales	Cantharellaceae	Cantharellus	Cantharellus cibarius Fr.	SE	Kullaberg, Djupadalsrännan, branterna öster om	b8323864-602a-4a7d-9127-bb903054e97d	56.295396999999994	12.495233	100.0	1989-09-19T00:00:00Z	19.0	9	1989	5249504	5249504.0	Kerstin Bergelin
1837683431	urn:lsid:artportalen.se:Sighting:70388687	Basidiomycota	Agaricomycetes	Cantharellales	Cantharellaceae	Cantharellus	Cantharellus cibarius Fr.	SE	Kullaberg, Larås 250 m nordöst om	b8323864-602a-4a7d-9127-bb903054e97d	56.283087	12.518922	100.0	1988-09-21T00:00:00Z	21.0	9	1988	5249504	5249504.0	Kerstin Bergelin
1837683076	urn:lsid:artportalen.se:Sighting:70386678	Basidiomycota	Agaricomycetes	Cantharellales	Cantharellaceae	Cantharellus	Cantharellus cibarius Fr.	SE	Kullaberg, Larås 250 m nordöst om	b8323864-602a-4a7d-9127-bb903054e97d	56.283087	12.518922	100.0	1987-07-02T00:00:00Z	2.0	7	1987	5249504	5249504.0	Kerstin Bergelin
1837028893	urn:lsid:artportalen.se:Sighting:70126723	Basidiomycota	Agaricomycetes	Cantharellales	Cantharellaceae	Cantharellus	Cantharellus cibarius Fr.	SE	Kullaberg, Hjorthagen	b8323864-602a-4a7d-9127-bb903054e97d	56.296946999999996	12.482819000000001	100.0	1992-08-23T00:00:00Z	23.0	8	1992	5249504	5249504.0	Kerstin Bergelin
1836343313	urn:lsid:artportalen.se:Sighting:16712053	Basidiomycota	Agaricomycetes	Cantharellales	Cantharellaceae	Cantharellus	Cantharellus cibarius Fr.	SE	tesdt_141007c	b8323864-602a-4a7d-9127-bb903054e97d	60.084814	18.800310999999997	250.0	1990-01-01T00:00:00Z	1.0	1	1990	5249504	5249504.0	Markyl Kyletoft
1835950938	urn:lsid:artportalen.se:Sighting:69835982	Basidiomycota	Agaricomycetes	Cantharellales	Cantharellaceae	Cantharellus	Cantharellus cibarius Fr.	SE	Kullaberg, Ona mosse	b8323864-602a-4a7d-9127-bb903054e97d	56.294774	12.498844	10.0	1991-08-28T00:00:00Z	28.0	8	1991	5249504	5249504.0	Kerstin Bergelin
1835919615	urn:lsid:artportalen.se:Sighting:69811868	Basidiomycota	Agaricomycetes	Cantharellales	Cantharellaceae	Cantharellus	Cantharellus cibarius Fr.	SE	Kullaberg, Per Linds mosse	b8323864-602a-4a7d-9127-bb903054e97d	56.285087	12.516487	100.0	1994-07-01T00:00:00Z	1.0	7	1994	5249504	5249504.0	Kerstin Bergelin
1835918953	urn:lsid:artportalen.se:Sighting:69809494	Basidiomycota	Agaricomycetes	Cantharellales	Cantharellaceae	Cantharellus	Cantharellus cibarius Fr.	SE	Kullaberg, Per Linds mosse	b8323864-602a-4a7d-9127-bb903054e97d	56.285087	12.516487	100.0	1993-07-28T00:00:00Z	28.0	7	1993	5249504	5249504.0	Kerstin Bergelin
1835909353	urn:lsid:artportalen.se:Sighting:69800555	Basidiomycota	Agaricomycetes	Cantharellales	Cantharellaceae	Cantharellus	Cantharellus cibarius Fr.	SE	Kullaberg, Per Linds mosse	b8323864-602a-4a7d-9127-bb903054e97d	56.285087	12.516487	100.0	1992-09-25T00:00:00Z	25.0	9	1992	5249504	5249504.0	Kerstin Bergelin
1835909257	urn:lsid:artportalen.se:Sighting:69799742	Basidiomycota	Agaricomycetes	Cantharellales	Cantharellaceae	Cantharellus	Cantharellus cibarius Fr.	SE	Kullaberg, Per Linds mosse	b8323864-602a-4a7d-9127-bb903054e97d	56.285087	12.516487	100.0	1991-07-31T00:00:00Z	31.0	7	1991	5249504	5249504.0	Kerstin Bergelin
