gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	countryCode	locality	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
1835919615	38b4c89f-584c-41bb-bd8f-cd1def33e92f	urn:lsid:artportalen.se:Sighting:69811868	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Cantharellaceae	Cantharellus	Cantharellus cibarius		SPECIES	Cantharellus cibarius Fr.	SE	Kullaberg, Per Linds mosse	b8323864-602a-4a7d-9127-bb903054e97d	56.285087	12.516487	100.0						1994-07-01T00:00:00Z	1	7	1994	5249504	5249504	HUMAN_OBSERVATION	ArtDatabanken	Artportalen	110795901				CC0_1_0	Kerstin Bergelin	Kerstin Bergelin			2018-12-09T09:27:54.322Z		GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
1835918953	38b4c89f-584c-41bb-bd8f-cd1def33e92f	urn:lsid:artportalen.se:Sighting:69809494	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Cantharellaceae	Cantharellus	Cantharellus cibarius		SPECIES	Cantharellus cibarius Fr.	SE	Kullaberg, Per Linds mosse	b8323864-602a-4a7d-9127-bb903054e97d	56.285087	12.516487	100.0						1993-07-28T00:00:00Z	28	7	1993	5249504	5249504	HUMAN_OBSERVATION	ArtDatabanken	Artportalen	110794791				CC0_1_0	Kerstin Bergelin	Kerstin Bergelin			2018-12-09T09:27:54.198Z		GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
1835909353	38b4c89f-584c-41bb-bd8f-cd1def33e92f	urn:lsid:artportalen.se:Sighting:69800555	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Cantharellaceae	Cantharellus	Cantharellus cibarius		SPECIES	Cantharellus cibarius Fr.	SE	Kullaberg, Per Linds mosse	b8323864-602a-4a7d-9127-bb903054e97d	56.285087	12.516487	100.0						1992-09-25T00:00:00Z	25	9	1992	5249504	5249504	HUMAN_OBSERVATION	ArtDatabanken	Artportalen	110785728				CC0_1_0	Kerstin Bergelin	Kerstin Bergelin			2018-12-09T09:27:49.282Z		GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
1835909257	38b4c89f-584c-41bb-bd8f-cd1def33e92f	urn:lsid:artportalen.se:Sighting:69799742	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Cantharellaceae	Cantharellus	Cantharellus cibarius		SPECIES	Cantharellus cibarius Fr.	SE	Kullaberg, Per Linds mosse	b8323864-602a-4a7d-9127-bb903054e97d	56.285087	12.516487	100.0						1991-07-31T00:00:00Z	31	7	1991	5249504	5249504	HUMAN_OBSERVATION	ArtDatabanken	Artportalen	110785280				CC0_1_0	Kerstin Bergelin	Kerstin Bergelin			2018-12-09T09:27:49.387Z		GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
1835909060	38b4c89f-584c-41bb-bd8f-cd1def33e92f	urn:lsid:artportalen.se:Sighting:69799910	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Cantharellaceae	Cantharellus	Cantharellus cibarius		SPECIES	Cantharellus cibarius Fr.	SE	Kullaberg, Per Linds mosse	b8323864-602a-4a7d-9127-bb903054e97d	56.285087	12.516487	100.0						1990-06-02T00:00:00Z	2	6	1990	5249504	5249504	HUMAN_OBSERVATION	ArtDatabanken	Artportalen	110785359				CC0_1_0	Kerstin Bergelin	Kerstin Bergelin			2018-12-09T09:27:49.191Z		GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
1835909038	38b4c89f-584c-41bb-bd8f-cd1def33e92f	urn:lsid:artportalen.se:Sighting:69799909	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Cantharellaceae	Cantharellus	Cantharellus cibarius		SPECIES	Cantharellus cibarius Fr.	SE	Kullaberg, Per Linds mosse	b8323864-602a-4a7d-9127-bb903054e97d	56.285087	12.516487	100.0						1990-07-16T00:00:00Z	16	7	1990	5249504	5249504	HUMAN_OBSERVATION	ArtDatabanken	Artportalen	110785358				CC0_1_0	Kerstin Bergelin	Kerstin Bergelin			2018-12-09T09:27:49.187Z		GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
1835855298	38b4c89f-584c-41bb-bd8f-cd1def33e92f	urn:lsid:artportalen.se:Sighting:69720287	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Cantharellaceae	Cantharellus	Cantharellus cibarius		SPECIES	Cantharellus cibarius Fr.	SE	Kullaberg, Djupadalsrännan, branterna öster om	b8323864-602a-4a7d-9127-bb903054e97d	56.295397	12.495233	100.0						1990-09-24T00:00:00Z	24	9	1990	5249504	5249504	HUMAN_OBSERVATION	ArtDatabanken	Artportalen	110716391				CC0_1_0	Kerstin Bergelin	Kerstin Bergelin			2018-12-09T09:27:23.051Z		GEODETIC_DATUM_ASSUMED_WGS84
1835855127	38b4c89f-584c-41bb-bd8f-cd1def33e92f	urn:lsid:artportalen.se:Sighting:69719406	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Cantharellaceae	Cantharellus	Cantharellus cibarius		SPECIES	Cantharellus pallens Pilát	SE	Kullaberg, Djupadalsrännan, branterna väster om	b8323864-602a-4a7d-9127-bb903054e97d	56.292561	12.493383	100.0						1991-07-29T00:00:00Z	29	7	1991	5249496	5249504	HUMAN_OBSERVATION	ArtDatabanken	Artportalen	110715897				CC0_1_0	Kerstin Bergelin	Kerstin Bergelin			2018-12-09T09:27:22.888Z		GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
1835855124	38b4c89f-584c-41bb-bd8f-cd1def33e92f	urn:lsid:artportalen.se:Sighting:69719407	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Cantharellaceae	Cantharellus	Cantharellus cibarius		SPECIES	Cantharellus cibarius Fr.	SE	Kullaberg, Djupadalsrännan, branterna väster om	b8323864-602a-4a7d-9127-bb903054e97d	56.292561	12.493383	100.0						1991-07-29T00:00:00Z	29	7	1991	5249504	5249504	HUMAN_OBSERVATION	ArtDatabanken	Artportalen	110715898				CC0_1_0	Kerstin Bergelin	Kerstin Bergelin			2018-12-09T09:27:22.962Z		GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
1835855088	38b4c89f-584c-41bb-bd8f-cd1def33e92f	urn:lsid:artportalen.se:Sighting:69719750	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Cantharellaceae	Cantharellus	Cantharellus cibarius		SPECIES	Cantharellus cibarius Fr.	SE	Kullaberg, Ona mosse	b8323864-602a-4a7d-9127-bb903054e97d	56.294774	12.498844	10.0						1990-08-11T00:00:00Z	11	8	1990	5249504	5249504	HUMAN_OBSERVATION	ArtDatabanken	Artportalen	110716085				CC0_1_0	Kerstin Bergelin	Kerstin Bergelin			2018-12-09T09:27:23.022Z		GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
